words,sentiment_coeff
12,-115.1606386601112
dwoch,-64.71717662197638
oczywiscie,-83.07822811540154
kurs_producenta,-40.701246257536404
18,-72.65715900610182
pierwsze,-90.38510477398586
zysku_netto,-68.7356474496407
zysk,-65.27833328483958
nasze,-68.1065407013167
trzech_miesiacach,-114.68089068365215
oczekiwan_analitykow,-124.04941758298514
rynku,-101.05890230293784
online,-133.05207380591858
1_mln,-93.97470126005268
e3_ktore,-107.33622934863646
world,-46.40242460997092
uwazamy,-98.75508059710933
zostala,-88.76277510605469
1,-74.40041046362626
wiele,-70.58972459590068
kolejnych,-121.07639994801076
monster_hunter,-85.64956026219818
postac,-130.9455644466264
wszystkich,-102.25258254655093
red,-94.47861481308199
terminie,-99.57715080643861
obecnosc,-69.9580109211404
marca,-68.43741372272994
21,-63.93101043550655
publikacji,-127.98502159940365
jesli,-145.718826714441
dobre,-70.29663273402366
biznesu_tresc,-103.35942713171218
zakonczyc,-81.55769347376932
na_poczatku,-86.89697616621126
projekt,-99.81578168740263
andrzeja_sapkowskiego,-92.70263489439063
wiedzmin,-114.92810560922402
o_tym,-45.70687346122517
glosu,-58.28609752581342
miedzy,-79.91353043600625
bedziemy,-52.00272088916981
informacja,-68.15863078358022
inne,-51.86655440829847
wskazuje,-73.54491600463216
najbardziej,-48.660966900836115
raczej,-49.24873839315429
pana,-178.06402961888392
zrodlo_puls,-146.02355312685972
chroniona_prawem,-69.60082154540832
zapasowy,-70.3238178208611
wydanie,-77.63015410255801
nasza,-53.80593672209706
aby,-109.10658620921367
mamy,-50.53064227614071
w_ubieglym,-79.66197609462633
rok,-54.8313731448391
nie_mysli,-66.82910107123546
jedna,-46.07760528920585
dlatego_ze,-61.08305676589549
z_zysku,-76.80776416175638
na_akcje,-66.89727440362462
na_tyle,-35.31372128921171
krotki_ze,-71.8147990009492
pod_koniec,-70.33724190075027
zysku_za,-88.11503704223449
kicinski,-104.18102808388005
nie_jestesmy,-76.15308619452881
wojna_krwi,-88.93114989283852
w_czerwcu,-84.10000453017443
prac,-74.23415870739306
tytulow,-86.13015201234835
23,-87.41479070363494
oraz_playstation,-63.7627714050944
producent,-15.104652604150559
za_2018,-38.03062748464615
zeby,-81.59590447048166
jeszcze_przed,-110.52049900559892
do_2021,-39.1769705818615
powiedzial,-59.71844954513837
13_czerwca,-51.58171980162896
nie_ukrywa,-76.9964799672734
czasu,-71.86249228422899
w_grze,-101.04418031543256
poinformowal,-89.99307171028164
sprawa,-125.46844744978958
wraz_z,-90.7084414392385
99,-105.87041183937072
reakcja,-109.46811654993755
playstation_4,-89.44977806883377
oczekiwan,-67.1105010350595
zwiastun,-26.442115905006332
ten,-53.4940256730308
miesiecy,-112.58196952645835
termin,-106.23770866133293
obnizenia,-92.65957778098438
mozliwosc,-127.34597682571444
by,-73.14320546248618
w_ocenie,-72.38853898971013
duzo,-129.23065090178085
dziennikarze,-94.8410850453819
wedlug,-46.28394349300809
2,-51.576591606360864
kurs_akcji,-82.52854733729582
ostatniej,-130.39952892589497
akcji_cd,-17.12454782837695
wyceny,-95.74700534817025
na_rynek,-59.07317784894463
ich,-95.36312477300405
mozna,-88.42113444105108
premiery_gry,-159.8040819381328
moga,-66.75870273286344
jakosc,-152.74236437697076
noble_securities,-41.760247204056675
maciej_kietlinski,-62.3195045227057
stanowic,-71.65254399903378
jak_bedzie,-76.1330408661584
jedna_z,-96.90261284470442
wsparcie,-118.43180549883012
studia,-62.57212947512617
10_grudnia,-59.384060530276024
glowna,-104.08530743035487
wiec,-60.4186100993774
silverhanda,-116.73221687717161
kolejna,-74.81923230129368
sprzedaz,-138.6506025966344
dwie,-95.09102501496407
5,-92.15721952923805
swojej,-99.0464057787537
przesuniecie_premiery,-71.568812641425
danych,-122.69004210714934
mniej_niz,-41.31280728022303
